,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,possibly_sensitive,possibly_sensitive_editable,extended_entities,card,self_thread
876788085350047744,Mon Jun 19 13:05:44 +0000 2017,876788085350047744,876788085350047744,ට හුකන්න ෂිප් එකට දිව අහුවෙලා වගේ😃😃😂😂😂 https://t.co/bOcBRbmbRu,False,"[0, 62]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bOcBRbmbRu', 'expanded_url': 'http://fb.me/RD4bLdZC', 'display_url': 'fb.me/RD4bLdZC', 'indices': [39, 62]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,2547990481,2547990481,,,,,False,0,0,0,0,876788085350047744,876788085350047744,False,False,si,,,,,False,True,,,
1120591341963104256,Tue Apr 23 07:32:50 +0000 2019,1120591341963104256,1120591341963104256,"රටේ ගිනිදැල් ඇවිලවීමට උත්සහ කරන පිරිස් සොයා ඔවුන් විනාශ කිරීම රජයේ වගකීමක්-රිෂාඩ්
විස්තර මෙතැනින්: https://t.co/Z4f74iDHUR https://t.co/yPWk22J7ZK",False,"[0, 122]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Z4f74iDHUR', 'expanded_url': 'http://ow.ly/XAQK50ri9au', 'display_url': 'ow.ly/XAQK50ri9au', 'indices': [99, 122]}], 'media': [{'id': 1120591340507627526, 'id_str': '1120591340507627526', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/D40j4xVWAAYAusd.png', 'media_url_https': 'https://pbs.twimg.com/media/D40j4xVWAAYAusd.png', 'url': 'https://t.co/yPWk22J7ZK', 'display_url': 'pic.twitter.com/yPWk22J7ZK', 'expanded_url': 'https://twitter.com/adaderanasin/status/1120591341963104256/photo/1', 'type': 'photo', 'original_info': {'width': 700, 'height': 700, 'focus_rects': [{'x': 0, 'y': 0, 'h': 392, 'w': 700}, {'x': 0, 'y': 0, 'h': 700, 'w': 700}, {'x': 0, 'y': 0, 'h': 700, 'w': 614}, {'x': 122, 'y': 0, 'h': 700, 'w': 350}, {'x': 0, 'y': 0, 'h': 700, 'w': 700}]}, 'sizes': {'medium': {'w': 700, 'h': 700, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 700, 'h': 700, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}, 'orig': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}, 'small': {'faces': [{'x': 171, 'y': 226, 'h': 179, 'w': 179}]}, 'large': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}}}]}","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,183904448,183904448,,,,,False,3,25,18,4,1120591341963104256,1120591341963104256,False,False,si,,,,,False,True,"{'media': [{'id': 1120591340507627526, 'id_str': '1120591340507627526', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/D40j4xVWAAYAusd.png', 'media_url_https': 'https://pbs.twimg.com/media/D40j4xVWAAYAusd.png', 'url': 'https://t.co/yPWk22J7ZK', 'display_url': 'pic.twitter.com/yPWk22J7ZK', 'expanded_url': 'https://twitter.com/adaderanasin/status/1120591341963104256/photo/1', 'type': 'photo', 'original_info': {'width': 700, 'height': 700, 'focus_rects': [{'x': 0, 'y': 0, 'h': 392, 'w': 700}, {'x': 0, 'y': 0, 'h': 700, 'w': 700}, {'x': 0, 'y': 0, 'h': 700, 'w': 614}, {'x': 122, 'y': 0, 'h': 700, 'w': 350}, {'x': 0, 'y': 0, 'h': 700, 'w': 700}]}, 'sizes': {'medium': {'w': 700, 'h': 700, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 700, 'h': 700, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}, 'orig': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}, 'small': {'faces': [{'x': 171, 'y': 226, 'h': 179, 'w': 179}]}, 'large': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}}, 'media_key': '3_1120591340507627526', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 245, 'green': 240, 'blue': 226}, 'percentage': 25.12}, {'rgb': {'red': 38, 'green': 40, 'blue': 30}, 'percentage': 21.18}, {'rgb': {'red': 80, 'green': 7, 'blue': 0}, 'percentage': 16.64}, {'rgb': {'red': 147, 'green': 14, 'blue': 0}, 'percentage': 9.94}, {'rgb': {'red': 51, 'green': 5, 'blue': 0}, 'percentage': 2.56}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",,
1142129847403077632,Fri Jun 21 17:59:10 +0000 2019,1142129847403077632,1142129847403077632,"@akshaypasu @MichaelVaughan පල කැරි පොන්නය අම්මට හුකගන්නෙ නැතුව. ගොන වේස බල්ල. 

 Hi there. Love from sri lanka 
 
ගොන් හුකන්න",False,"[28, 126]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichaelVaughan', 'name': 'Michael Vaughan', 'id': 97893963, 'id_str': '97893963', 'indices': [12, 27]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.141997944498901e+18,1141997944498900993,3242017600.0,3242017600,Kohlify,623929922,623929922,,,,,False,0,31,0,0,1141997344080007168,1141997344080007168,False,False,si,,,,,,,,,
1075805346495692802,Thu Dec 20 17:29:16 +0000 2018,1075805346495692802,1075805346495692802,"දවසක් කොට කොට යන කොට්ටෝරුවෙක්ට වවුලෙක් හම්බුනා. මොකෝ හුත්තො නිකමටවත් කොටන් නැත්තේ? කොටන එක තමයි ලෝකේ ලොවෙත් ආතල් එක.. කොට්ටෝරුව වවුලට කිව්වා.
පල කැරිය යන්න.. ජීවිතේට එල්ලෙන්න බැරි තෝ හුකන්න කොහොමද දන්නේ එල්ලෙන එකේ ආතල්එක.. එල්ලෙන එක තමයි ලොවෙත් සිරාම ආතල් එක..වවුලා උත්තර දුන්නා",False,"[0, 278]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,150624162,150624162,,,,,False,5,41,3,0,1075805346495692802,1075805346495692802,False,False,si,,,,,,,,,
1330882263471439872,Mon Nov 23 14:33:52 +0000 2020,1330882263471439872,1330882263471439872,සරලව අහල තියෙන්නේ හුකා ගන්න ඕනේ. හුකන්න එකෙක් නැද්ද කියල. ඉන්නව නම් මෙන්න චාන්ස් එක.,False,"[0, 84]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,190986031,190986031,,,,,True,0,2,0,0,1330882263471439872,1330882263471439872,False,False,si,,1.3308584248426086e+18,1330858424842608640,"{'url': 'https://t.co/ZWndZzJGyt', 'expanded': 'https://twitter.com/iamnishui/status/1330858424842608640', 'display': 'twitter.com/iamnishui/stat…'}",,,,,
1248935521394421760,Sat Apr 11 11:26:47 +0000 2020,1248935521394421760,1248935521394421760,@maalupaan අනේ පොන්න පකෝ මට කොහෙවත් නැති එකියක්ට හුකන්න ඕන නෑ.... තොට මුනට කිව්වා වගේ තාමා මේම දැම්මාම... එක පුක ඉරාගෙන දගලන්නේ ගෝතයා...,False,"[11, 136]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2489273301074043e+18,1248927330107404289,4632654077.0,4632654077,maalupaan,708916415122657281,708916415122657281,,,,,False,0,2,1,0,1248927330107404289,1248927330107404289,False,False,si,,,,,,,,,
1165339365192687616,Sat Aug 24 19:05:30 +0000 2019,1165339365192687616,1165339365192687616,@Anonymous__LK @puka_sl @BasnayakageGopi @rasiikalink @MalindaOnline ඒකියන්නෙ රසික අයියද මේ ෆේක් එකින් රිප්ලයි කලේ ☺️😊🤔🤨🙄 කොහොමද රසික අයියේ ඔයා බර ඇක් තොගයක් එකපාර නඩත්තු කරන්නෙ ඔයානම් පට්ට චරිතයක් මටත් ඔයාගෙන් ට්‍රික්ස් ටිකක් දැන ගන්න ඕන😃😊 ඔයා ඔය විදියට අක්කලත් බර ගානක් නඩත්තු කරනව ඇති නේද 😃😌මට ඒ ට්‍රික්ස් ටිකකුත් ඕන please 😋😉,False,"[69, 329]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Anonymous__LK', 'name': 'ඇනෝනිමස් ආතල්', 'id': 1138064372670984193, 'id_str': '1138064372670984193', 'indices': [0, 14]}, {'screen_name': 'puka_sl', 'name': 'පුක 🍑 | PUKA | All Fart No Shit', 'id': 1089477743773868032, 'id_str': '1089477743773868032', 'indices': [15, 23]}, {'screen_name': 'BasnayakageGopi', 'name': 'ගෝප්ස්', 'id': 982608810928844801, 'id_str': '982608810928844801', 'indices': [24, 40]}, {'screen_name': 'MalindaOnline', 'name': 'Malinda Alahakoon ☕', 'id': 74673651, 'id_str': '74673651', 'indices': [54, 68]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.165316047668314e+18,1165316047668314112,1.1380643726709842e+18,1138064372670984193,Anonymous__LK,874190738455752704,874190738455752704,,,,,False,0,3,2,1,1165121967315439616,1165121967315439616,False,False,si,,,,,,,,,
1120364694575906818,Mon Apr 22 16:32:13 +0000 2019,1120364694575906818,1120364694575906818,"සමහර පිස්සු හුකන්නලා smවල දකින හැම රෙද්දක්ම උස්සලා හුකන්න හදනවා,උන්ට අවුරුදු තිහක කාලයක් රටට වෙලා තිබුණු එක ගැන මෙලෝ මලදානයක් දන්නෑ,බෝම්බ වලට වඩා අපිව ආයුධ කරගන්න දගලන දේශපාලන මතවලට පොන්නයො වගේ නැවෙන්න එපා,ඔය සේරම එවුන් එකයි,එක දෙයක් මතක තියාන ජීවත් වෙයන් අපිට ඉන්නෙ අපි විතරයි.",False,"[0, 278]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3334390273,3334390273,,,,,False,0,6,0,0,1120364694575906818,1120364694575906818,False,False,si,,,,,,,,,
935106075178573826,Mon Nov 27 11:20:36 +0000 2017,935106075178573826,935106075178573826,"මාමා එක්ක ශොට් එකක් දැමීමෙන් පසු .! 
මාමා: පුතා අපේ දුවව බැන්දට පස්සේ මොකද කරන්න හිතං ඉන්නේ?? 
බෑනා : හුකන්න තමා අංකල්..! 
මාමා: 😧",False,"[0, 130]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,150624162,150624162,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,1,19,3,0,935106075178573826,935106075178573826,False,False,si,,,,,,,,,
1281266164086132737,Thu Jul 09 16:37:12 +0000 2020,1281266164086132737,1281266164086132737,@devinda_hemal ඒ හුකන්න එක පාරකුත් වැරද්දක් කරලා ආයෙත් කරනවා ඌ දන්නවා උට බේරෙන්න පුලුවන් කියලා නීතිය තදටම තියෙන්න ඕන නැත්නම් ආයෙත් ඕකම කරයි,False,"[15, 139]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2812633833464668e+18,1281263383346466818,1.0673992874771292e+18,1067399287477129217,hemal_devinda,914051095558631424,914051095558631424,,,,,False,0,2,0,0,1281263383346466818,1281263383346466818,False,False,si,,,,,,,,,
