,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,self_thread,extended_entities,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,card
1393405421679833090,Sat May 15 03:18:35 +0000 2021,1393405421679833090,1393405421679833090,"අනේ ඊයේ රෑ 4G පොඩ්ඩක් අල්ලගන්න, කාමරේ ඇඳෙන් නැගිටල ගෙදර දොරපත්තටම යන්න උනා. ඒ තරං සිග්නල් හොඳා.",False,"[0, 95]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,2369956382,2369956382,,,,,True,0,5,1,0,1393405421679833090,1393405421679833090,False,False,si,,,,,,1.3934044431781356e+18,1393404443178135555,"{'url': 'https://t.co/j5xDvzLVlB', 'expanded': 'https://twitter.com/indika27/status/1393404443178135555', 'display': 'twitter.com/indika27/statu…'}",
1395349445194264581,Thu May 20 12:03:26 +0000 2021,1395349445194264581,1395349445194264581,@Ranindu_ බත් කන්න ආස නැද්ද?,False,"[10, 28]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ranindu_', 'name': 'RaNiYa \U0001f974', 'id': 1015323417392771072, 'id_str': '1015323417392771072', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3953483342026547e+18,1395348334202654721,1.0153234173927711e+18,1015323417392771072,Ranindu_,327293824,327293824,,,,,False,0,2,1,0,1395165339361714176,1395165339361714176,False,False,si,,,,,,,,,
1395398718149447687,Thu May 20 15:19:14 +0000 2021,1395398718149447687,1395398718149447687,@Iam_Nisansala බුදාම්මෝ..... ගෙදර ෆාමසියක්ම තිබිලා 😮😯😯,False,"[15, 54]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Iam_Nisansala', 'name': 'යස්සනී ____ ; ❤️', 'id': 841879045696557056, 'id_str': '841879045696557056', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3950605389509059e+18,1395060538950905859,8.41879045696557e+17,841879045696557056,Iam_Nisansala,936947642,936947642,,,,,False,0,1,1,0,1395060538950905859,1395060538950905859,False,False,si,,,,,,,,,
1388390064040906753,Sat May 01 07:09:20 +0000 2021,1388390064040906753,1388390064040906753,@MumiTweets @MarianneDavid24 we have exactly the same ones in my මහ ගෙදර . Still my mother is using them.,False,"[29, 105]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarianneDavid24', 'name': 'Marianne David', 'id': 2449625713, 'id_str': '2449625713', 'indices': [12, 28]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3881281472756122e+18,1388128147275612165,1.1279617102606746e+18,1127961710260674560,mumthaz_ansar,1298248711919689728,1298248711919689728,,,,,False,0,1,1,0,1388102000659767298,1388102000659767298,False,False,en,,,,,,,,,
1394541996379840518,Tue May 18 06:34:55 +0000 2021,1394541996379840518,1394541996379840518,@KOTTANOFFICIAL කරන්න හම්බුන්නෑනෙ,False,"[16, 33]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KOTTANOFFICIAL', 'name': 'KOTTAN කොට්ටන්', 'id': 1269375633886449664, 'id_str': '1269375633886449664', 'indices': [0, 15]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3945416990540595e+18,1394541699054059523,1.2693756338864497e+18,1269375633886449664,KOTTANOFFICIAL,2925554527,2925554527,,,,,False,0,0,1,0,1394531382068535297,1394531382068535297,False,False,si,,,,,,,,,
1395979525771563010,Sat May 22 05:47:09 +0000 2021,1395979525771563010,1395979525771563010,"හදිස්⁣සියේවත් මං මැරුණා කියලා ආරංචි උනොත් ඔයාලා දුක් නොවී ඉන්න.
  
මම ඔයාලවත් මගේ ලගට ගන්නවා...😌❤️",False,"[0, 98]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1075601028249092098,1075601028249092098,,,,,False,0,41,7,0,1395979525771563010,1395979525771563010,False,False,si,,,,,,,,,
1394557019852402689,Tue May 18 07:34:37 +0000 2021,1394557019852402689,1394557019852402689,ඕ ලෙවල් ගෙදර 😂🥲,False,"[0, 15]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,429624563,429624563,,,,,True,0,2,0,0,1394557019852402689,1394557019852402689,False,False,si,,,,,,1.3944876760787476e+18,1394487676078747649,"{'url': 'https://t.co/dVxAb2774O', 'expanded': 'https://twitter.com/Mr6feet/status/1394487676078747649', 'display': 'twitter.com/Mr6feet/status…'}",
1394201593013182464,Mon May 17 08:02:17 +0000 2021,1394201593013182464,1394201593013182464,@moogater @22Dinuk එතකොට PCR කරපු කෙනෙක් result එනකන් ඉන්නේ කොහෙද? එහෙම වැඩ පිළිවෙලක් තියෙනවද? සමහරුන් ගේ PCR results එන්න දවස් 5ක් විතර යනවා.,False,"[19, 142]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'moogater', 'name': 'Kanchana Amilani', 'id': 161958333, 'id_str': '161958333', 'indices': [0, 9]}, {'screen_name': '22Dinuk', 'name': 'Dinuk', 'id': 956735417054720000, 'id_str': '956735417054720000', 'indices': [10, 18]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3941924746717757e+18,1394192474671775744,161958333.0,161958333,moogater,2459987869,2459987869,,,,,False,0,2,2,0,1394191077691691009,1394191077691691009,False,False,si,,,,,,,,,
1395269476296269824,Thu May 20 06:45:40 +0000 2021,1395269476296269824,1395269476296269824,@619Sniper619 වරුණි 😂😂😂 මම හොදින් 😂😂😂🥴🥴🥴,False,"[14, 40]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '619Sniper619', 'name': '˜”*°•.˜”*°• Şຖipēr •°*”˜.•°*”˜ 🇱🇰', 'id': 1047931890, 'id_str': '1047931890', 'indices': [0, 13]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3952631294124564e+18,1395263129412456448,1047931890.0,1047931890,619Sniper619,1269164273013608450,1269164273013608450,,,,,False,0,3,1,0,1395263129412456448,1395263129412456448,False,False,si,,,,,,,,,
1393768318100643846,Sun May 16 03:20:36 +0000 2021,1393768318100643846,1393768318100643846,@lahiruDar හේතුව?,False,"[11, 17]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lahiruDar', 'name': 'The L theory', 'id': 2607440251, 'id_str': '2607440251', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3937618201758351e+18,1393761820175835141,2607440251.0,2607440251,lahiruDar,68113514,68113514,,,,,False,0,0,1,0,1393761820175835141,1393761820175835141,False,False,si,,,,,,,,,
