,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,self_thread,card,quoted_status_id,quoted_status_id_str,quoted_status_permalink
674506171387105280,Wed Dec 09 08:29:37 +0000 2015,674506171387105280,674506171387105280,@sahanDisa කිම්බ + උල්ලු @NightWingzzz,False,"[0, 38]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SahandisA', 'name': 'Sahandis', 'id': 1284500295641206789, 'id_str': '1284500295641206789', 'indices': [0, 10]}, {'screen_name': 'NightWingzzz', 'name': 'Nightwing®🇱🇰', 'id': 2369956382, 'id_str': '2369956382', 'indices': [25, 38]}], 'urls': []}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,911573887,911573887,,,,,False,0,0,1,0,674500567243186176,674500567243186176,False,False,si,,,,,,,,,
1262325488485314562,Mon May 18 10:13:43 +0000 2020,1262325488485314562,1262325488485314562,@Chandu_original @Sansajran කිම්බ ලී එතකොට..😂😂,False,"[28, 46]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chandu_original', 'name': '🅒🅗🅐🅝🅓🅤ᵅ💫', 'id': 1181169304877879297, 'id_str': '1181169304877879297', 'indices': [0, 16]}, {'screen_name': 'Sansajran', 'name': '𝗦𝗮𝗻𝗱𝘂𝗻', 'id': 199129412, 'id_str': '199129412', 'indices': [17, 27]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.262324588689666e+18,1262324588689666050,1.1811693048778793e+18,1181169304877879297,Chandu_original,1193364868801290240,1193364868801290240,,,,,False,0,0,1,0,1262315771751010305,1262315771751010305,False,False,si,,,,,,,,,
998530776043081730,Mon May 21 11:47:43 +0000 2018,998530776043081730,998530776043081730,යසිදුගේ කැල්ලගේ කිම්බ – සිංහල අලුත්,False,"[0, 35]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://hornyagent.net"" rel=""nofollow"">hukanawa.com</a>",,,,,,996787115072610305,996787115072610305,,,,,False,0,0,1,0,998530776043081730,998530776043081730,False,False,si,,,,,,,,,
1371559795552051200,Mon Mar 15 20:31:52 +0000 2021,1371559795552051200,1371559795552051200,@Geeth__R @Shafraz_Cader උබලැ අම්මගේ දාර කිම්බෙන් ... අනේ මුස්ලිම් ඌරැ වෙසිය‍ේ තොගේ කිම්බට ඌරැ තේල් දාලා හුකන්නේ කිම්බ කුණුවෙලා යන්න දැනගනින් පට්ට වෙසි තොගේ පුකට ඌරැ තේල් බිංදුවක් දාලා පුකේ අරින්නෙ රෙනකොට ඌරැ පැටව් වැටෙන්න දැනගනින් කැරි වෙසි ඉස්ස‍ේල්ලා කිම්බේ ගඳ යවාගනින් හොදට නාලා කැරි හම්බ වෙසි,False,"[25, 296]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Geeth__R', 'name': '🔱AZI 😌☁️🇱🇰', 'id': 949549091905826816, 'id_str': '949549091905826816', 'indices': [0, 9]}, {'screen_name': 'Shafraz_Cader', 'name': 'Shafraz Cader', 'id': 1467472404, 'id_str': '1467472404', 'indices': [10, 24]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3713201226740122e+18,1371320122674012160,9.495490919058268e+17,949549091905826816,Geeth__R,1359619092492267521,1359619092492267521,,,,,False,0,0,0,0,1371318928924901376,1371318928924901376,False,False,si,,,,,,,,,
1303901000076460032,Thu Sep 10 03:39:58 +0000 2020,1303901000076460032,1303901000076460032,"අපේ කැම්පස් එකේ කැන්ටිමේ දෙන පරිප්පු කෑවනම්.. මිනිස්සු පරිප්පු කන එක අතහරිනවා.. එතකොට ඉම්පෝර්ට් කරන්න ඕනෙත් නෑ ... 
ආදේශක ඕනෙත් නෑ...
😂",False,"[0, 135]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,836512553622593536,836512553622593536,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,1,67,7,1,1303901000076460032,1303901000076460032,False,False,si,,,,,,,,,
1352262241521979392,Thu Jan 21 14:30:16 +0000 2021,1352262241521979392,1352262241521979392,@Its_Me_S_Soori මං දැක්ක ටීවි එකේ ඇඩ් එකක් යනව. කැරිමලයිස් කිම්බ කියල එකක්,False,"[16, 74]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Its_Me_S_Soori', 'name': 'ֆɦǟռ....✍️(..Hҽʅʅσ Pҽҽρʂ..🙋) 🇱🇰', 'id': 1196374198408450048, 'id_str': '1196374198408450048', 'indices': [0, 15]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3522573014328115e+18,1352257301432811523,1.19637419840845e+18,1196374198408450048,Its_Me_S_Soori,1057885194630311936,1057885194630311936,,,,,False,0,1,1,0,1352255811276460036,1352255811276460036,False,False,si,,,,,,,,,
1219207318862254083,Mon Jan 20 10:37:31 +0000 2020,1219207318862254083,1219207318862254083,@VinshadaYasasmi @Chandu_original @Anushka60212320 @KasunKoswattha මොන හුත්තක්දෝයි මේ කියන්නෙ? කියන පොල් කිම්බක් තේරෙන්න කියනවකො,False,"[67, 128]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VinshadaYasasmi', 'name': 'Vinshada Yasasmini', 'id': 1353365228, 'id_str': '1353365228', 'indices': [0, 16]}, {'screen_name': 'Chandu_original', 'name': '🅒🅗🅐🅝🅓🅤ᵅ💫', 'id': 1181169304877879297, 'id_str': '1181169304877879297', 'indices': [17, 33]}, {'screen_name': 'KasunKoswattha', 'name': 'Kasun K', 'id': 327293824, 'id_str': '327293824', 'indices': [51, 66]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2192058671801016e+18,1219205867180101632,1353365228.0,1353365228,VinshadaYasasmi,799677397,799677397,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,9,1,0,1218774284291727361,1218774284291727361,False,False,si,,,,,,,,,
965226467792535552,Sun Feb 18 14:08:17 +0000 2018,965226467792535552,965226467792535552,"බ්ලඩ් බෑන්ක් වගේම ස්පර්ම් බෑන්ක් එකකුත් ලංකාවෙ පටං ගන්න ඕනි
@WindDesika වගෙ සිංගල් කෙල්ලොන්ට මිනිහෙක් නැතුව ලමයෙක් හදාගන්නත් පුලුවx @rathgamaya වගේ හැන්ඩි බ්‍රේකප් කොල්ලොන්ට ඉන්කම් එකකුත් හොයාගන්න පුලුවන්
මොකද කියන්නෙ සනිකා
සෞඛ්‍ය ඇමතිගෙං අවසර අරං අපි වැඩේ පටංගමුද?
@stranshad",False,"[0, 276]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rathgamaya', 'name': 'Raththa 🌸', 'id': 246224922, 'id_str': '246224922', 'indices': [132, 143]}, {'screen_name': 'stranshad', 'name': 'Sanik Thuransha', 'id': 401184754, 'id_str': '401184754', 'indices': [266, 276]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2393877565,2393877565,,,,,False,2,19,5,0,965226467792535552,965226467792535552,False,False,si,,,,,"{'id': 965226467792535552, 'id_str': '965226467792535552'}",,,,
1282541783692349440,Mon Jul 13 05:06:04 +0000 2020,1282541783692349440,1282541783692349440,Colombo girl Pussy licking හොදටම වෙරි ස්ප නන්ගි කිම්බ ලෙවකවාගන්නවා https://t.co/8TfzjhvxSu,False,"[0, 90]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8TfzjhvxSu', 'expanded_url': 'https://fp.alrau.com/colombo-girl-pussy-licking-%e0%b7%84%e0%b7%9c%e0%b6%af%e0%b6%a7%e0%b6%b8-%e0%b7%80%e0%b7%99%e0%b6%bb%e0%b7%92-%e0%b7%83%e0%b7%8a%e0%b6%b4-%e0%b6%b1%e0%b6%b1%e0%b7%8a%e0%b6%9c%e0%b7%92-%e0%b6%9a/', 'display_url': 'fp.alrau.com/colombo-girl-p…', 'indices': [67, 90]}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1101624234017722368,1101624234017722368,,,,,False,1,2,0,0,1282541783692349440,1282541783692349440,False,False,und,,,False,True,,"{'name': 'summary', 'url': 'https://t.co/8TfzjhvxSu', 'card_type_url': 'http://card-type-url-is-deprecated.invalid', 'binding_values': {'vanity_url': {'type': 'STRING', 'string_value': 'fp.alrau.com', 'scribe_key': 'vanity_url'}, 'domain': {'type': 'STRING', 'string_value': 'fp.alrau.com'}, 'title': {'type': 'STRING', 'string_value': 'Colombo girl Pussy licking හොදටම වෙරි ස්ප නන්ගි කිම්බ ලෙවකවාගන්නවා | FP'}, 'thumbnail_image_small': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1351318082086690820/QM_hxrEo?format=jpg&name=100x100_2', 'width': 100, 'height': 100, 'alt': None}}, 'thumbnail_image': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1351318082086690820/QM_hxrEo?format=jpg&name=144x144_2', 'width': 144, 'height': 144, 'alt': None}}, 'thumbnail_image_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1351318082086690820/QM_hxrEo?format=jpg&name=280x280_2', 'width': 145, 'height': 145, 'alt': None}}, 'thumbnail_image_x_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1351318082086690820/QM_hxrEo?format=png&name=2048x2048_2_exp', 'width': 258, 'height': 145, 'alt': None}}, 'thumbnail_image_color': {'type': 'IMAGE_COLOR', 'image_color_value': {'palette': [{'percentage': 46.33, 'rgb': {'red': 214, 'green': 204, 'blue': 194}}, {'percentage': 36.83, 'rgb': {'red': 80, 'green': 55, 'blue': 49}}, {'percentage': 12.6, 'rgb': {'red': 129, 'green': 97, 'blue': 84}}, {'percentage': 3.2, 'rgb': {'red': 146, 'green': 132, 'blue': 118}}, {'percentage': 0.47, 'rgb': {'red': 176, 'green': 119, 'blue': 195}}]}}, 'thumbnail_image_original': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1351318082086690820/QM_hxrEo?format=jpg&name=orig', 'width': 258, 'height': 145, 'alt': None}}, 'card_url': {'type': 'STRING', 'string_value': 'https://t.co/8TfzjhvxSu', 'scribe_key': 'card_url'}}, 'card_platform': {'platform': {'device': {'name': 'Swift', 'version': '12'}, 'audience': {'name': 'production', 'bucket': None}}}}",,,
625156181573550080,Sun Jul 26 04:10:23 +0000 2015,625156181573550080,625156181573550080,@HandyBuwa  කි ... 😂😂 කිම්බ කෝපරේෂන්,False,"[0, 36]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HandyBuwa', 'name': 'Dilan Dilz Edirisinghe', 'id': 2613916794, 'id_str': '2613916794', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",6.25155847258112e+17,625155847258112000,2613916794.0,2613916794,HandyBuwa,2429353159,2429353159,,,,,False,0,1,1,0,625155847258112000,625155847258112000,False,False,si,,,,,,,,,
