,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,self_thread,card
1391363766613254144,Sun May 09 12:05:46 +0000 2021,1391363766613254144,1391363766613254144,@mystery_tweep ඕ,False,"[15, 16]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mystery_tweep', 'name': 'අපි බඳිමුකෝ 🔥 ♡', 'id': 2240150923, 'id_str': '2240150923', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3913631317089034e+18,1391363131708903424,2240150923.0,2240150923,mystery_tweep,3591912206,3591912206,,,,,False,,,,0,1,1,0,1391362828351594498,1391362828351594498,False,False,si,,,,,,
1390202990200463364,Thu May 06 07:13:16 +0000 2021,1390202990200463364,1390202990200463364,@Subod_Jr ඒක ලස්සනයි,False,"[10, 20]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Subod_Jr', 'name': '___සුබෝ___✨💫🌾', 'id': 1324262842338480129, 'id_str': '1324262842338480129', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.390144048120275e+18,1390144048120274949,1.32426284233848e+18,1324262842338480129,Subod_Jr,1187034942384926720,1187034942384926720,,,,,False,,,,0,1,1,0,1390144048120274949,1390144048120274949,False,False,si,,,,,,
1389047658489081857,Mon May 03 02:42:23 +0000 2021,1389047658489081857,1389047658489081857,@Colombo_Ladyy @ViduraSBP මීට වඩා ලස්සනයි පුකභින්න  කූඹි කීවානං,False,"[26, 63]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Colombo_Ladyy', 'name': 'Colombo Lady', 'id': 1121493127359975424, 'id_str': '1121493127359975424', 'indices': [0, 14]}, {'screen_name': 'ViduraSBP', 'name': 'ViduraSBP', 'id': 1117620221253230594, 'id_str': '1117620221253230594', 'indices': [15, 25]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3890369069528596e+18,1389036906952859650,1.1214931273599754e+18,1121493127359975424,Colombo_Ladyy,1273180031024607242,1273180031024607242,,,,,False,,,,0,2,1,0,1389030666981953538,1389030666981953538,False,False,si,,,,,,
1390201887853400066,Thu May 06 07:08:53 +0000 2021,1390201887853400066,1390201887853400066,@MJJNamalDias @AyNaGsEuL101 චිත්‍ර සේරම හරිම ලස්සනයි . රටා මවන අම්මට බුදු සරනයි..,False,"[28, 81]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MJJNamalDias', 'name': 'M. J. J. Namal Dias', 'id': 3405656644, 'id_str': '3405656644', 'indices': [0, 13]}, {'screen_name': 'AyNaGsEuL101', 'name': 'AngelGirl101', 'id': 1197539374109474817, 'id_str': '1197539374109474817', 'indices': [14, 27]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3901300237015204e+18,1390130023701520384,3405656644.0,3405656644,MJJNamalDias,3547622474,3547622474,,,,,False,,,,0,2,1,0,1390130023701520384,1390130023701520384,False,False,si,,,,,,
1391274825927122944,Sun May 09 06:12:21 +0000 2021,1391274825927122944,1391274825927122944,@DukeTheDog__ ලස්සනයි ඩුක් බෝලේ.ඔයා කොහොමත් හැන්ඩියනෙ 🤗,False,"[14, 55]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DukeTheDog__', 'name': 'Duke The Dog', 'id': 1351453048464281603, 'id_str': '1351453048464281603', 'indices': [0, 13]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3912509695481283e+18,1391250969548128261,1.3514530484642816e+18,1351453048464281603,DukeTheDog__,1050972636522545152,1050972636522545152,,,,,False,,,,0,2,1,0,1391250969548128261,1391250969548128261,False,False,si,,,,,,
1390243580103389189,Thu May 06 09:54:33 +0000 2021,1390243580103389189,1390243580103389189,@RansaraniBole ලස්සනම ලස්සනයි අක්කේ,False,"[15, 35]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RansaraniBole', 'name': 'මිස් සූරියබංඩාර 🤓🐘', 'id': 961513544717164545, 'id_str': '961513544717164545', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3902081490517443e+18,1390208149051744264,9.615135447171645e+17,961513544717164545,RansaraniBole,1095545776854450176,1095545776854450176,,,,,False,,,,0,0,1,0,1390208149051744264,1390208149051744264,False,False,si,,,,,,
1389805737983942656,Wed May 05 04:54:43 +0000 2021,1389805737983942656,1389805737983942656,@iam_AStr ලස්සනයි,False,"[10, 17]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iam_AStr', 'name': 'ⒶⓈⓣⓡⓐ ツ', 'id': 1299197195032252417, 'id_str': '1299197195032252417', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3898055846149693e+18,1389805584614969344,1.2991971950322524e+18,1299197195032252417,iam_AStr,4227365309,4227365309,,,,,False,,,,0,1,1,0,1389804924460879874,1389804924460879874,False,False,si,,,,,,
1390662391239643136,Fri May 07 13:38:45 +0000 2021,1390662391239643136,1390662391239643136,@unknownman1000 ලස්සනයි 🌸,False,"[16, 25]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'unknownman1000', 'name': 'ආශාන් පීරිස්', 'id': 1209463662613848064, 'id_str': '1209463662613848064', 'indices': [0, 15]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.390608279345111e+18,1390608279345111041,1.209463662613848e+18,1209463662613848064,unknownman1000,1155850001769218048,1155850001769218048,,,,,False,,,,0,1,0,0,1390608279345111041,1390608279345111041,False,False,si,,,,,,
1389536597985480704,Tue May 04 11:05:15 +0000 2021,1389536597985480704,1389536597985480704,"I'm going to draw a Mandala art🎨🖌️🙈💃💫

#mandalaart 
#Art",False,"[0, 56]","{'hashtags': [{'text': 'mandalaart', 'indices': [39, 50]}, {'text': 'Art', 'indices': [52, 56]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,697353419720241152,697353419720241152,,,,,False,,,,0,6,0,1,1389536597985480704,1389536597985480704,False,False,en,,,,,,
1389220895860817924,Mon May 03 14:10:46 +0000 2021,1389220895860817924,1389220895860817924,@ManelMishara ඒයි ලස්සනයි හලෝ.ඒත් කොහොමද? 🤔👍🏻🌸,False,"[14, 46]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ManelMishara', 'name': 'මිශ්✨️', 'id': 1229617939948670976, 'id_str': '1229617939948670976', 'indices': [0, 13]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.389220677576663e+18,1389220677576663045,1.229617939948671e+18,1229617939948670976,ManelMishara,3107120012,3107120012,,,,,False,,,,0,2,1,0,1389159083945562112,1389159083945562112,False,False,si,,,,,,
1390234102293401603,Thu May 06 09:16:53 +0000 2021,1390234102293401603,1390234102293401603,DP එම්ක වෙනස් කරම්න ඕන 😕💔,False,"[0, 25]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1342539998726299648,1342539998726299648,,,,,False,,,,0,47,5,0,1390234102293401603,1390234102293401603,False,False,si,,,,,,
1391372908199436290,Sun May 09 12:42:06 +0000 2021,1391372908199436290,1391372908199436290,අපිට තමා ලස්සනයි කියන්න කවුරුත් නැත්තෙ 😂,False,"[0, 40]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1385936487833739268,1385936487833739268,,,,,False,,,,2,18,2,0,1391372908199436290,1391372908199436290,False,False,si,,,,,,
1391434916777312268,Sun May 09 16:48:30 +0000 2021,1391434916777312268,1391434916777312268,@sasini00211 @dul_nayanathara ඩිවෝස් කරනවා සසිනි එක්කම ඉන්න 😑,False,"[30, 61]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sasini00211', 'name': 'Sasini Nilanka', 'id': 1388893737833562112, 'id_str': '1388893737833562112', 'indices': [0, 12]}, {'screen_name': 'dul_nayanathara', 'name': 'ඉමෝම්ෂම්නම්ල් කප්කේක්\U0001f9c1✨', 'id': 1164632377454288896, 'id_str': '1164632377454288896', 'indices': [13, 29]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.391345753113514e+18,1391345753113513987,1.388893737833562e+18,1388893737833562112,sasini00211,2590211726,2590211726,,,,,False,,,,0,2,2,0,1389935029741105154,1389935029741105154,False,False,si,,,,,,
