,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,extended_entities,possibly_sensitive,possibly_sensitive_editable,card,self_thread
1178133867472941056,Sun Sep 29 02:26:17 +0000 2019,1178133867472941056,1178133867472941056,"@kavinda_mahen මේ මල් පොන්නය කවුද,ගොඨා 2005  දී ඇමරිකන් සිටිසන් එක ගත්තෙ වූ දන්නවද 19 ජනාධිපති අපේක්ෂකය වෙනව කියල.තෝ වුනත් මන් වුනත් සිටිසන් එක තියෙනවනම් අයින් කරගන්න වෙනව,මන්ද මෝන්ගලය",False,"[15, 184]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kavinda_mahen', 'name': 'Mahen Kavinda 🇱🇰', 'id': 2301730370, 'id_str': '2301730370', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1776705024307569e+18,1177670502430756865,2301730370.0,2301730370,kavinda_mahen,1177537715765567490,1177537715765567490,,,,,False,0,4,1,0,1177670502430756865,1177670502430756865,False,False,si,,,,,,,,,
553491776468971520,Fri Jan 09 10:01:37 +0000 2015,553491776468971520,553491776468971520,ඒ පොන්න #දිලාන් හූ පොන්න පකය තොපිල පැරදී පොන්නයො හූ පොන්නය හූ හූ හූ හූ පොන්න හුත්ත හැමනියන් දැන් ඔව් පොන්නය... http://t.co/P16xqnlqDf,False,"[0, 133]","{'hashtags': [{'text': 'දිලාන්', 'indices': [8, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/P16xqnlqDf', 'expanded_url': 'http://fb.me/3DJEWjaKf', 'display_url': 'fb.me/3DJEWjaKf', 'indices': [111, 133]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,1859459622,1859459622,,,,,False,0,0,0,0,553491776468971520,553491776468971520,False,False,si,,,,,,False,True,,
1240259361496338433,Wed Mar 18 12:50:49 +0000 2020,1240259361496338433,1240259361496338433,@irajonline පලයන් පොන්නය යන්න..!!!! තොපි වගේ මේ රටට වැඩි එවුන් හින්ද තමයි මෙහෙම කෙළවෙලා තියෙන්නේ..!!! https://t.co/nZdEAXQHcV,False,"[12, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'irajonline', 'name': 'IRAJ', 'id': 124982587, 'id_str': '124982587', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1240259329254621184, 'id_str': '1240259329254621184', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/media/ETZJSe2WAAABqaJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ETZJSe2WAAABqaJ.jpg', 'url': 'https://t.co/nZdEAXQHcV', 'display_url': 'pic.twitter.com/nZdEAXQHcV', 'expanded_url': 'https://twitter.com/HBandaare/status/1240259361496338433/photo/1', 'type': 'photo', 'original_info': {'width': 192, 'height': 263, 'focus_rects': [{'x': 0, 'y': 155, 'h': 108, 'w': 192}, {'x': 0, 'y': 71, 'h': 192, 'w': 192}, {'x': 0, 'y': 44, 'h': 219, 'w': 192}, {'x': 30, 'y': 0, 'h': 263, 'w': 132}, {'x': 0, 'y': 0, 'h': 263, 'w': 192}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 192, 'h': 263, 'resize': 'fit'}, 'medium': {'w': 192, 'h': 263, 'resize': 'fit'}, 'small': {'w': 192, 'h': 263, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}}}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2402446913978327e+18,1240244691397832705,124982587.0,124982587,irajonline,1206951043965296644,1206951043965296644,,,,,False,0,13,0,0,1240244691397832705,1240244691397832705,False,False,si,,,,,"{'media': [{'id': 1240259329254621184, 'id_str': '1240259329254621184', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/media/ETZJSe2WAAABqaJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ETZJSe2WAAABqaJ.jpg', 'url': 'https://t.co/nZdEAXQHcV', 'display_url': 'pic.twitter.com/nZdEAXQHcV', 'expanded_url': 'https://twitter.com/HBandaare/status/1240259361496338433/photo/1', 'type': 'photo', 'original_info': {'width': 192, 'height': 263, 'focus_rects': [{'x': 0, 'y': 155, 'h': 108, 'w': 192}, {'x': 0, 'y': 71, 'h': 192, 'w': 192}, {'x': 0, 'y': 44, 'h': 219, 'w': 192}, {'x': 30, 'y': 0, 'h': 263, 'w': 132}, {'x': 0, 'y': 0, 'h': 263, 'w': 192}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 192, 'h': 263, 'resize': 'fit'}, 'medium': {'w': 192, 'h': 263, 'resize': 'fit'}, 'small': {'w': 192, 'h': 263, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}}, 'media_key': '3_1240259329254621184', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 94.88}, {'rgb': {'red': 27, 'green': 25, 'blue': 30}, 'percentage': 3.71}, {'rgb': {'red': 146, 'green': 118, 'blue': 116}, 'percentage': 0.55}, {'rgb': {'red': 199, 'green': 130, 'blue': 130}, 'percentage': 0.4}, {'rgb': {'red': 249, 'green': 255, 'blue': 253}, 'percentage': 0.3}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,
1123257992747597824,Tue Apr 30 16:09:09 +0000 2019,1123257992747597824,1123257992747597824,"@Sujith_Ayya @munza14 සිරාවටම බන් නොදකින් මුන් වගේ උන් හමුදාව හිරේ දාලා බුද්ධි අංශ හිරේ දාලා 
මේවා ගැන එදා කතා කලේ මුන්ගේ ආන්ඩුවෙම විජේදාස මුන් ඌටත් බැන්නා 

සතියක් යනකල් පොන්නය වගේ හිටියා රාජිත අද ආයෙත් මඩ ගහන්න පටන් අරං 🖕🖕🖕",False,"[22, 225]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sujith_Ayya', 'name': 'සුජිත් අයියා', 'id': 1854407280, 'id_str': '1854407280', 'indices': [0, 12]}, {'screen_name': 'munza14', 'name': '𝐌𝐮𝐧𝐳𝐚 𝐌𝐮𝐬𝐡𝐭𝐚𝐪', 'id': 251958790, 'id_str': '251958790', 'indices': [13, 21]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.1232514207512084e+18,1123251420751208450,1854407280.0,1854407280,Sujith_Ayya,710564595585318912,710564595585318912,,,,,False,0,12,0,0,1123131314486439936,1123131314486439936,False,False,si,,,,,,,,,
1012023759010590720,Wed Jun 27 17:24:01 +0000 2018,1012023759010590720,1012023759010590720,@DilanthaShamal @Umezhh තට්ට සාමල් මාව unfollow කරල😒,False,"[24, 52]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DilanthaShamal', 'name': 'Shamal Dilantha', 'id': 903733902, 'id_str': '903733902', 'indices': [0, 15]}, {'screen_name': 'umezhh', 'name': 'Umesh Manushka', 'id': 1155708978678001664, 'id_str': '1155708978678001664', 'indices': [16, 23]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0120221853160612e+18,1012022185316061184,903733902.0,903733902,DilanthaShamal,713738846416973824,713738846416973824,,,,,False,0,0,1,0,1012014868231262209,1012014868231262209,False,False,si,,,,,,,,,
1135086817483452416,Sun Jun 02 07:32:40 +0000 2019,1135086817483452416,1135086817483452416,උපවාස කරනවා කියන්නෙ නෝම්බි අල්ලන එකට විතරක් කියලා හිතාගෙන ඉන්න නානලත් ඉන්නවා 😂😂,False,"[0, 79]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3268719913,3268719913,,,,,False,26,134,10,2,1135086817483452416,1135086817483452416,False,False,si,,,,,,,,,
1195958480164859904,Sun Nov 17 06:54:56 +0000 2019,1195958480164859904,1195958480164859904,@MangalaLK අනේ හුකාගන්න එපා පොන්නය,False,"[11, 34]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MangalaLK', 'name': 'Mangala Samaraweera', 'id': 3032260688, 'id_str': '3032260688', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1959363625636823e+18,1195936362563682304,3032260688.0,3032260688,MangalaLK,1049549824977039361,1049549824977039361,,,,,False,0,1,0,0,1195936362563682304,1195936362563682304,False,False,si,,,,,,,,,
1012024040431616000,Wed Jun 27 17:25:08 +0000 2018,1012024040431616000,1012024040431616000,@CIDDumiya @DilanthaShamal @Umezhh උබ පොන්නය පාඩම් කරන්නෙ නෑනේ 😂 ඉතින් අන්ෆලෝ කරනවා තමයි.,False,"[35, 89]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DilanthaShamal', 'name': 'Shamal Dilantha', 'id': 903733902, 'id_str': '903733902', 'indices': [11, 26]}, {'screen_name': 'umezhh', 'name': 'Umesh Manushka', 'id': 1155708978678001664, 'id_str': '1155708978678001664', 'indices': [27, 34]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0120237590105907e+18,1012023759010590720,7.137388464169738e+17,713738846416973824,ZIDDumiya,2483063340,2483063340,,,,,False,0,1,1,0,1012014868231262209,1012014868231262209,False,False,si,,,,,,,,,
1012635641576689664,Fri Jun 29 09:55:25 +0000 2018,1012635641576689664,1012635641576689664,@MrThila_ @Chooti_Nangi @Its_chutte @da_sukiya @nima_dre මේකිගේ කතාව බලපන්කෝ නිදාගන්න කතා කලා වගේ නේ 😂 ගොං බඩු 😂,False,"[57, 112]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrThila_', 'name': 'Mr Marvellous 🇱🇰', 'id': 3251654766, 'id_str': '3251654766', 'indices': [0, 9]}, {'screen_name': 'Its_chutte', 'name': 'Chutte Empire', 'id': 1324713105641803780, 'id_str': '1324713105641803780', 'indices': [24, 35]}, {'screen_name': 'da_sukiya', 'name': 'Sukiya 🇱🇰', 'id': 181142874, 'id_str': '181142874', 'indices': [36, 46]}, {'screen_name': 'nima_dre', 'name': 'Blood Diamond ❄️', 'id': 352931832, 'id_str': '352931832', 'indices': [47, 56]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0126354348228321e+18,1012635434822832128,3251654766.0,3251654766,MrThila_,707102986049347584,707102986049347584,,,,,False,0,0,2,0,1012219521887686657,1012219521887686657,False,False,si,,,,,,,,,
1191287452159234048,Mon Nov 04 09:33:56 +0000 2019,1191287452159234048,1191287452159234048,@yunesh_k @Sandaru18314866 ගොන් කම කියන්න අවජාතකයන් උපතින්ම ගෙනාපු දෙයක්..ඒකට කුනුහරපෙන් බැනල කෑ ගහල වැඩක් නෑ..ඔය ගති යවන්න බෑ..අනිත් එඋන්ට පොන්නය පොන්නය කියල කෑ ගහන්නෙ එහෙම ප්‍රසිද්ද අයලු..😂😂,False,"[27, 192]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yunesh_k', 'name': 'Yunesh', 'id': 333357644, 'id_str': '333357644', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1912850531012403e+18,1191285053101240320,2973906710.0,2973906710,surenmadineshs,2973906710,2973906710,,,,,False,0,1,0,0,1191241114889539584,1191241114889539584,False,False,si,,,,,,,,,
