,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,possibly_sensitive,possibly_sensitive_editable,card,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,extended_entities,self_thread
1388394951432499204,Sat May 01 07:28:46 +0000 2021,1388394951432499204,1388394951432499204,"@AkilaSilva8 Im about 40% sure its a fake account. What she post or delete isn't the concern here akila. If someone trying to justify the harassment, that is.",False,"[13, 158]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AkilaSilva8', 'name': 'Akila Silva', 'id': 1051469293278322688, 'id_str': '1051469293278322688', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3883783128969667e+18,1388378312896966660,1.0514692932783227e+18,1051469293278322688,AkilaSilva8,623929922,623929922,,,,,False,0,3,0,0,1388339828081627137,1388339828081627137,False,False,,,,en,,,,,,
1389206686640967684,Mon May 03 13:14:18 +0000 2021,1389206686640967684,1389206686640967684,@stranshad 😂👌,False,"[11, 13]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stranshad', 'name': 'Sanik Thuransha', 'id': 401184754, 'id_str': '401184754', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3891970222179164e+18,1389197022217916419,401184754.0,401184754,stranshad,623929922,623929922,,,,,False,0,1,0,0,1389172338818572292,1389172338818572292,False,False,,,,und,,,,,,
1388344514457128961,Sat May 01 04:08:21 +0000 2021,1388344514457128961,1388344514457128961,@dialoglk 19,False,"[10, 12]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dialoglk', 'name': 'Dialog Axiata', 'id': 16510448, 'id_str': '16510448', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3880932727576617e+18,1388093272757661696,16510448.0,16510448,dialoglk,623929922,623929922,,,,,False,0,0,0,0,1388093272757661696,1388093272757661696,False,False,,,,und,,,,,,
1388344292242956294,Sat May 01 04:07:28 +0000 2021,1388344292242956294,1388344292242956294,@dialoglk 6,False,"[10, 11]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dialoglk', 'name': 'Dialog Axiata', 'id': 16510448, 'id_str': '16510448', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3880932727576617e+18,1388093272757661696,16510448.0,16510448,dialoglk,623929922,623929922,,,,,False,0,0,0,0,1388093272757661696,1388093272757661696,False,False,,,,und,,,,,,
1388350979574157312,Sat May 01 04:34:02 +0000 2021,1388350979574157312,1388350979574157312,@25ShadesOfBrown @NightWingzzz @maalupaan වෙඩිම zoom ගත්ත කියමුකො. ඉතුරු වැඩ ටික? 👀,False,"[42, 83]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '25ShadesOfBrown', 'name': 'chichiᥫ᭡🇨🇦', 'id': 480050024, 'id_str': '480050024', 'indices': [0, 16]}, {'screen_name': 'NightWingzzz', 'name': 'Nightwing®🇱🇰', 'id': 2369956382, 'id_str': '2369956382', 'indices': [17, 30]}, {'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [31, 41]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3883506581102674e+18,1388350658110267393,480050024.0,480050024,25ShadesOfBrown,623929922,623929922,,,,,False,0,0,1,0,1388344440360628225,1388344440360628225,False,False,,,,si,,,,,,
1388407374365433856,Sat May 01 08:18:08 +0000 2021,1388407374365433856,1388407374365433856,ජාතික ගීය aka අහස ගුගුරා,False,"[0, 24]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,623929922,623929922,,,,,True,2,8,1,0,1388407374365433856,1388407374365433856,False,False,,,,si,,1.3882059954997412e+18,1388205995499741185,"{'url': 'https://t.co/ASXkBLFtku', 'expanded': 'https://twitter.com/_oshadhee_/status/1388205995499741185', 'display': 'twitter.com/_oshadhee_/sta…'}",,
1388350027202908160,Sat May 01 04:30:15 +0000 2021,1388350027202908160,1388350027202908160,@maalupaan @NightWingzzz @25ShadesOfBrown ලැජ්ජයි 🥲,False,"[42, 51]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [0, 10]}, {'screen_name': 'NightWingzzz', 'name': 'Nightwing®🇱🇰', 'id': 2369956382, 'id_str': '2369956382', 'indices': [11, 24]}, {'screen_name': '25ShadesOfBrown', 'name': 'chichiᥫ᭡🇨🇦', 'id': 480050024, 'id_str': '480050024', 'indices': [25, 41]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3883467975091364e+18,1388346797509136385,4632654077.0,4632654077,maalupaan,623929922,623929922,,,,,False,0,1,1,0,1388344440360628225,1388344440360628225,False,False,,,,si,,,,,,
1388351309204492288,Sat May 01 04:35:21 +0000 2021,1388351309204492288,1388351309204492288,@uruzikal මෙලඩිය ටොප්. ලිරික්ස් ටික සෙට් නෑ,False,"[10, 43]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'uruzikal', 'name': 'රු 🇱🇰', 'id': 1057457915777507329, 'id_str': '1057457915777507329', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3883503228594176e+18,1388350322859417606,1.0574579157775073e+18,1057457915777507329,uruzikal,623929922,623929922,,,,,False,0,2,0,0,1388350322859417606,1388350322859417606,False,False,,,,si,,,,,,
1389868516325543936,Wed May 05 09:04:11 +0000 2021,1389868516325543936,1389868516325543936,aaihkkns 👀,False,"[0, 10]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,623929922,623929922,,,,,True,0,1,1,0,1389868516325543936,1389868516325543936,False,False,,,,in,,1.3897909577559327e+18,1389790957755932675,"{'url': 'https://t.co/viatibBeZh', 'expanded': 'https://twitter.com/25shadesofbrown/status/1389790957755932675', 'display': 'twitter.com/25shadesofbrow…'}",,
1388130112441241601,Fri Apr 30 13:56:23 +0000 2021,1388130112441241601,1388130112441241601,@iam_AStr යාලුවා 😋,False,"[10, 18]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iam_AStr', 'name': 'ⒶⓈⓣⓡⓐ ツ', 'id': 1299197195032252417, 'id_str': '1299197195032252417', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3881298157026304e+18,1388129815702630400,1.2991971950322524e+18,1299197195032252417,iam_AStr,70366634,70366634,,,,,False,0,2,1,0,1388101909605543938,1388101909605543938,False,False,,,,si,,,,,,
