,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,conversation_control,limited_actions,self_thread,quoted_status_id,quoted_status_id_str,quoted_status_permalink,card
1278705514185015297,Thu Jul 02 15:02:06 +0000 2020,1278705514185015297,1278705514185015297,"ස්ස් ස්ස්!!
කුනුහරපයක් කියන් යන්නකො,😙

#කෙල්ලොකොල්ලොබේදයක්නෑ",False,"[0, 60]","{'hashtags': [{'text': 'කෙල්ලොකොල්ලොබේදයක්නෑ', 'indices': [39, 60]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1217387594415296513,1217387594415296513,,,,,False,0,53,19,0,1278705514185015297,1278705514185015297,False,False,si,,,,,,,,,,,
1341994591315083264,Thu Dec 24 06:30:18 +0000 2020,1341994591315083264,1341994591315083264,@AnandaKumarasi9 මූ තමයි රට කන්නේ..කැරියා,False,"[17, 41]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnandaKumarasi9', 'name': '🇱🇰 ආනන්Da 🇱🇰🌹🌹🌹', 'id': 1066294683603619841, 'id_str': '1066294683603619841', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3417041136255468e+18,1341704113625546755,1.0662946836036198e+18,1066294683603619841,AnandaKumarasi9,200401964,200401964,,,,,False,0,0,0,0,1341704113625546755,1341704113625546755,False,False,si,,,,,,,,,,,
1221838601618624515,Mon Jan 27 16:53:17 +0000 2020,1221838601618624515,1221838601618624515,@pasindu__peiris @dehanzzzzz @BathiyaWeerase4 @Chandu_original @MrProf19 කියපන් පොන්නයට ගෑනියෙක්ට කෙල්ලෙක්ට අසරනවෙන විදියට තවත් පොස්ට් දාන්න එපා කියල පොන්න කැරියා,False,"[73, 162]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BathiyaWeerase4', 'name': 'Bathiya weerasekara', 'id': 1091189013644337154, 'id_str': '1091189013644337154', 'indices': [29, 45]}, {'screen_name': 'Chandu_original', 'name': '🅒🅗🅐🅝🅓🅤ᵅ💫', 'id': 1181169304877879297, 'id_str': '1181169304877879297', 'indices': [46, 62]}, {'screen_name': 'Mrprof19', 'name': 'MR PROF', 'id': 1227639446113267712, 'id_str': '1227639446113267712', 'indices': [63, 72]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221837991326421e+18,1221837991326420996,1.120211971406803e+18,1120211971406802944,NiMsArA_,1110203643695939590,1110203643695939590,,,"{'id': '01b984d319b42814', 'url': 'https://api.twitter.com/1.1/geo/id/01b984d319b42814.json', 'place_type': 'admin', 'name': 'Ras Al Khaimah', 'full_name': 'Ras Al Khaimah, United Arab Emirates', 'country_code': 'AE', 'country': 'United Arab Emirates', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[55.7414877, 24.8517657], [56.3489937, 24.8517657], [56.3489937, 26.0841599], [55.7414877, 26.0841599]]]}, 'attributes': {}}",,False,0,2,0,2,1221814994880356352,1221814994880356352,False,False,si,,,,,,,,,,,
707372216133021696,Wed Mar 09 01:07:33 +0000 2016,707372216133021696,707372216133021696,I liked a @YouTube video https://t.co/2HHxtPCTvQ Ka**ya - FTG Presents (කැරියා-Mixtape Rap),False,"[0, 91]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [10, 18]}], 'urls': [{'url': 'https://t.co/2HHxtPCTvQ', 'expanded_url': 'http://youtu.be/hQeSRxI0tTY?a', 'display_url': 'youtu.be/hQeSRxI0tTY?a', 'indices': [25, 48]}]}","<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>",,,,,,2914208228,2914208228,,,,,False,0,0,0,0,707372216133021696,707372216133021696,False,False,en,,,True,True,,,,,,,
998652608960057344,Mon May 21 19:51:50 +0000 2018,998652608960057344,998652608960057344,"Season 04 Episode 22 - A Dark Knight: No Man's Land 

ටහිකෙනවා යකෝ 🙄 ජෝකර් කැරියා උනා අන්තිමට 😍 පෙන්ගුයින් ට ඇපත් නෑ 😭 හම්මෝ පට්ට පට්ට 😍 — watching Gotham",False,"[0, 154]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,3186309132,3186309132,,,,,False,0,0,0,0,998652608960057344,998652608960057344,False,False,und,,,,,,,,,,,
1167515694998704128,Fri Aug 30 19:13:27 +0000 2019,1167515694998704128,1167515694998704128,කැරියා අපිටත් උයගෙන කන්න පුලුවන් ඒක නෙවෙයි කියන්නේ,False,"[0, 50]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1045794757,1045794757,,,,,False,1,8,0,1,1167515694998704128,1167515694998704128,False,False,si,,,,,,,,,,,
993356710298320896,Mon May 07 05:07:50 +0000 2018,993356710298320896,993356710298320896,@RamanSingh98i @GKsingh100 ටෞකන්න කැරියා තෝ ඔය අටමගුල්වලින් බැලුවාකියලා අපේකුණුහරුප ට්‍රාන්ස්ලේට්වෙන්නෑ පුලාන්නං මේකහරවලා පෙන්නපිය,False,"[27, 130]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RamanSingh98i', 'name': 'Raman', 'id': 757042033303453697, 'id_str': '757042033303453697', 'indices': [0, 14]}, {'screen_name': 'GKsingh100', 'name': 'You', 'id': 635203665, 'id_str': '635203665', 'indices': [15, 26]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.933366596882555e+17,993336659688255488,7.570420333034537e+17,757042033303453697,RamanSingh98i,3523674194,3523674194,,,,,False,0,1,0,0,993335377220923392,993335377220923392,False,False,si,,,,,,,,,,,
1292007063783006209,Sat Aug 08 07:57:42 +0000 2020,1292007063783006209,1292007063783006209,@maduranga_ashan ඕකා ඊයෙ කැරි වැඩක් කරා. දැන් බලමු කවුද කැරියා කියලා. 😂,False,"[17, 71]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maduranga_ashan', 'name': '𝙰 𝚂 𝙷 𝙰 𝙽__𝙼 𝙰 𝙳 𝚄 𝚁 𝙰 𝙽 𝙶 𝙰 🇱🇰', 'id': 1409574895, 'id_str': '1409574895', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.292006888876335e+18,1292006888876335105,1409574895.0,1409574895,maduranga_ashan,2381681575,2381681575,,,,,False,0,0,1,0,1291999345030569984,1291999345030569984,False,False,si,,,,,,,,,,,
1345601569257971712,Sun Jan 03 05:23:08 +0000 2021,1345601569257971712,1345601569257971712,@ForaNewSriLank1 කුඩු සල්ලි වෙනුවෙන් ගූ කණ අපත කැරියා,False,"[17, 53]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ForaNewSriLank1', 'name': 'For a New Sri Lanka', 'id': 1175367525678419969, 'id_str': '1175367525678419969', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3454112522905436e+18,1345411252290543619,1.17536752567842e+18,1175367525678419969,ForaNewSriLank1,1326104182328229888,1326104182328229888,,,,,False,0,0,0,0,1345411252290543619,1345411252290543619,False,False,si,,,,,,,,,,,
1268233827043901444,Wed Jun 03 17:31:21 +0000 2020,1268233827043901444,1268233827043901444,"@sajad_irshad @toGetBaked වී ඇඩ්‍රස් ගුඩ් ෆ්‍රෙන්ඩ්ස් විත් බෑඩ් ව(ර්)ඩ්ස් ලයික් පකයා කැරියා etc. 
I wouldn't call you that, so worry not my dear friend.",False,"[26, 152]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sajad_irshad', 'name': 'Sajad', 'id': 2522809100, 'id_str': '2522809100', 'indices': [0, 13]}, {'screen_name': 'toGetBaked', 'name': 'දුම්බොන අලියා', 'id': 955051442183684096, 'id_str': '955051442183684096', 'indices': [14, 25]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2681999252940636e+18,1268199925294063616,2522809100.0,2522809100,sajad_irshad,272929610,272929610,,,,,False,0,1,1,0,1267880640273240064,1267880640273240064,False,False,und,,,,,,,,,,,
